;01;Deux personnages au bord de la mer;105x133cm;2005;6;
02;Points of View on Landscape I;2 x 105x130cm;2006;6;
03;Points of View on Landscape II;2 x 70x85cm;2006;6;
04;Points of View on Landscape III;70x79cm + 70x76cm;2006;6;
05;Points of View on Landscape IV;70x85cm + 70x71cm;2006;6;
06;Two figures standing;80x89cm;2006;6;
07;Two figures, one seated;80x100cm;2006;6;
08;Man with umbrella;70x90cm;2006;6;
09;In the mirror 1;40x52cm;2007;6;
10;In the mirror 2;40x52cm;2007;6;
11;Portrait of a couple;105x127cm;2007;6;
12;Here today, gone tomorrow;70x84cm;2007;6;
13;Here today, gone tomorrow 2;80x93cm;2007;6;
14;Couple in the mountains;80x99cm;2007;6;
15;Man on a mountain path;70x87cm;2007;6;
16;The Lake;70x88cm;2007;6;
17;Green Lake;80x97cm / 105x128cm;2007;6 (3+3);
18;Two figures in front of a mountain landscape;50x58cm;2007;6;
19;Waterfront;60x74cm;2007;6;
20;Artist and Model Reflected in a Mirror 1;130x104cm;2007;6;
21;Artist and Model Reflected in a Mirror 2;130x104cm;2007;6;
22;Artist and Model Reflected in a Mirror 3;130x104cm;2007;6;
23;Fuji-mi 1;70x88cm;2008;6;
24;Fuji-mi 2;70x55cm;2008;6;
25;Fuji-mi 3;70x86cm;2008;6;
26;Fuji-mi 4;70x88cm;2008;6;
27;Fuji-mi 5;70x81cm;2008;6;
28;Fuji-mi 6;70x80cm;2008;6;
29;Interior with a lamp;70x84cm;2008;6;
30;The Pool;80x99cm;2008;6;
31;Untitled (By the lake);70x79cm;2008;6;
32;La maja vestida;50x62cm;2008;6;
33;La maja desnuda;50x62cm;2008;6;
34;Mistral 1;80x99cm;2008;6;
35;Mistral 2;50x74cm;2008;6;
36;Maaru's Mountain;80x99cm;2008;6;
37;Emre's Umbrella;80x98cm;2008;6;
38;Newton's Color Theory;105x132cm;2009;6;
39;Nudo fiorentino;80x53cm;2010;6;
40;The persimmon tree;80x53;2010;6;
41;Nu bruxellois;80x53cm;2010;6;
42;Forest road;80x53cm;2010;6;
43;Nu descendant un escalier;60x90cm;2010;6;
44;Hotel 1;40x57cm;2010;6;
45;Hotel 2;40x57cm;2010;6;
46;Reflection;40x56cm;2010;6;
47;Winter landscape with Laura's dress;70x100cm;2010;6;
48;Black Bay;60c90cm;2010;6;
49;Finis terrae;70x99cm;2011;6;
50;Self-portrait with Arno Rafael Minkkinen, or Student and teacher under a plum tree;80x53cm;2010;6;
51;Teacher and student, self-portrait with Susanna Majuri;70x86cm;2011;6;
52;Teacher and student, self-portrait with Dorothée Smith;70x91cm;2011;6;
53;Listener;50x60cm;2011;6;
54;Undefined nude;70x85cm;2011;6;
55;Spectator 1;50x81cm;2011;6;
56;Spectator 2;50x75cm;2011;6;
57;Through the looking-glass;50x39cm;2011;6;
58;Reflecting with camera;70x70cm;2011;6;
59;Another home;90x135cm;2011;6